"age_group","sex","patient_type","comorbidity","day_1","day_2","day_3","day_4","day_5","day_6","day_7","day_8","day_9","day_10","day_11","day_12","day_13","day_14","day_15","day_16","day_17","day_18","day_19","day_20","day_21","day_22","day_23","day_24","day_25","day_26","day_27","day_28","day_29","day_30"
"[ 35 , 39 ]","M","H","1",0.936920638807023,0.918396425061255,0.839450187530094,0.800712996469763,0.783191088032603,0.761359568770021,0.750973413642694,0.745864579275296,0.735908909339282,0.716916472584129,0.707857650132641,0.699048442153242,0.686340402262859,0.682232669686939,0.674195775832025,0.658763992685516,0.647684195108756,0.644075899662398,0.644075899662398,0.636988278398903,0.630075601054884,0.613530613688794,0.607180040127538,0.607180040127538,0.60405375115017,0.597879583876217,0.594845039534072,0.59183845304221,0.588863324897364,0.557978850552975
"[ 40 , 44 ]","F","A","0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 40 , 44 ]","F","A","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 40 , 44 ]","M","A","0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999987974431824
"[ 40 , 44 ]","M","A","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99979916591076
"[ 40 , 44 ]","F","H","0",0.996384648623795,0.992764741603896,0.99004679153438,0.984609139891807,0.980068351038674,0.977337767745745,0.971860797374722,0.965436937958671,0.962666445201514,0.962666445201514,0.960811853037209,0.959883062345637,0.958022246790961,0.956159229223027,0.953359920017545,0.953359920017545,0.95242709019694,0.950527682696883,0.949577545388493,0.948627686009654,0.946728530178624,0.945778962524693,0.943875693229537,0.943875693229537,0.94292405858208,0.941972704707466,0.941021350832933,0.941021350832933,0.939118783834335,0.936261964765288
"[ 40 , 44 ]","F","H","1",0.944835178259578,0.898189102778639,0.867496451796761,0.814527778451879,0.776876477651982,0.756481389765541,0.719655737925385,0.682015919192954,0.667284032615004,0.667284032615004,0.657859740549393,0.653263140703305,0.644288034403626,0.635598991750258,0.623062405117827,0.623062405117827,0.619015181135504,0.610964310102237,0.60702905457529,0.603153999923869,0.595576788917454,0.591870461946287,0.584599529499906,0.584599529499906,0.581040327683194,0.577531269057643,0.574070062313083,0.574070062313083,0.56728699207356,0.557432868747929
"[ 40 , 44 ]","M","H","0",0.994083367731343,0.992099632203194,0.982091240082983,0.976078645452614,0.973076183402855,0.969062928585666,0.967040622969868,0.966017826583252,0.963969781197162,0.959852367137439,0.957786356994653,0.955710919645479,0.952596940546038,0.951559036463278,0.949482581647294,0.945319367215837,0.942180583448217,0.941130278558593,0.941130278558593,0.939025791140739,0.936919086675346,0.931650305243929,0.929539508709441,0.929539508709441,0.928481711529847,0.926355628980584,0.925292348512835,0.924226741750034,0.923160253750842,0.911343413098828
"[ 40 , 44 ]","M","H","1",0.914338348587117,0.890371184139892,0.793022389597776,0.747564439191988,0.727408128170077,0.702611294048324,0.69093026017093,0.685210683860615,0.674113064927895,0.653112586166961,0.643171827171646,0.633550375412278,0.61974742799852,0.615304790313451,0.60663901073527,0.590095663066296,0.578293899863855,0.574463974584065,0.574463974584065,0.566960077569,0.559665512151975,0.542301773339237,0.535672146797096,0.535672146797096,0.532415581080551,0.52599779731313,0.52285013867498,0.519735764021999,0.516658159390406,0.4849527318171
"[ 45 , 49 ]","F","A","0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 45 , 49 ]","F","A","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 45 , 49 ]","M","A","0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999992609151918
"[ 45 , 49 ]","M","A","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99998765345211
"[ 45 , 49 ]","F","H","0",0.99784856542839,0.995693461091351,0.991058652644418,0.985462469515809,0.980145784607617,0.9697457773957,0.964980373212195,0.959546830136815,0.95504717130964,0.949554202681696,0.945659947451473,0.940775195938043,0.937508993285385,0.933248614166004,0.9316042901261,0.929296648720799,0.926650837497342,0.924659860544275,0.922330308688797,0.920329442500215,0.91932772537407,0.918659163549798,0.917655450883614,0.915981057213817,0.913968063375822,0.911614494967568,0.910604311238455,0.909593310442125,0.908581402873693,0.902825565769441
"[ 45 , 49 ]","F","H","1",0.996409736809181,0.992820883667973,0.985128126008274,0.975885968026914,0.967152139172489,0.950198901951488,0.942488433843269,0.933740965666268,0.926532381603315,0.917775846406193,0.911596670239785,0.903879508397849,0.89874026037254,0.892061764830828,0.889491722193791,0.885892027892667,0.881775009528903,0.878684112678882,0.875075395407239,0.87198255303766,0.870436472563576,0.869405456773067,0.86785888756543,0.865282360527004,0.862190523330707,0.858583496040587,0.857037923688233,0.855492671173395,0.853947604404247,0.84518896176073
"[ 45 , 49 ]","M","H","0",0.996033903095315,0.992581608992406,0.98537089712122,0.980538972954329,0.975418956241967,0.969459712293524,0.963191192503602,0.956882260330583,0.950814135331145,0.946658240082191,0.942761038794724,0.937164209866115,0.931817884282981,0.925872541508631,0.920743951977764,0.91558257261671,0.910391954405801,0.906626326809211,0.903139384761496,0.897887825497104,0.89554532374014,0.892608477138438,0.889366653167644,0.886412082576441,0.884042561186003,0.881964011890461,0.879881087925138,0.878689019244353,0.877793810852557,0.863965980938857
"[ 45 , 49 ]","M","H","1",0.993387314002751,0.987652061295878,0.975735155204222,0.967796481980713,0.959425393978753,0.949735025168451,0.939602853010472,0.929468378867497,0.919780144153991,0.913178429431553,0.907012322727857,0.898198730004584,0.889825327199789,0.880566010019142,0.872622773219802,0.864669816494191,0.856713219067848,0.850966877610298,0.84566519196757,0.837715591320245,0.834183172329984,0.829766298315617,0.824905968056354,0.820490184571576,0.816958339577266,0.813867183548223,0.810776062374142,0.809009939560597,0.807685040623047,0.787372807061985
"[ 50 , 54 ]","F","A","0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 50 , 54 ]","F","A","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 50 , 54 ]","M","A","0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999990554679984
"[ 50 , 54 ]","M","A","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999984221434667
"[ 50 , 54 ]","F","H","0",0.997251339893465,0.994499642416614,0.988587400020031,0.981459049669443,0.974697135413334,0.96149959795638,0.955465439323128,0.948595356261555,0.942914238629228,0.935989082893427,0.931086212482107,0.924944239132053,0.920842331500669,0.915497841918487,0.913436909204632,0.91054630512335,0.907234556545921,0.904744192925593,0.901832223327983,0.899332746430708,0.898081971075135,0.89724739460723,0.89599476095813,0.893905964890059,0.891396171958417,0.888463700087776,0.88720568812314,0.885947046990348,0.884687666317536,0.877531600483052
"[ 50 , 54 ]","F","H","1",0.995414433958518,0.990836082458677,0.981040593668485,0.969305240649601,0.958248614567229,0.936879334948654,0.927201108881233,0.916252191132859,0.907254263649257,0.896354424617174,0.88868285050686,0.879125220523165,0.87277476184816,0.864539601401985,0.861375743285416,0.85694922244884,0.851893562069662,0.848102894059296,0.843682525895596,0.839898656865506,0.838008731930831,0.836749011385384,0.834860261632862,0.831716039360785,0.827946872890797,0.823555047105684,0.821674977089531,0.819796364862736,0.817919047702514,0.807297200490891
"[ 50 , 54 ]","M","H","0",0.994934218276658,0.990529263659312,0.981342499233076,0.975196855388509,0.968693972106712,0.961137137085359,0.953202037952163,0.94523026377124,0.937576537296737,0.932342529704884,0.927440125170292,0.920409561795612,0.913704562829898,0.906260867263092,0.899850426668575,0.893409014007586,0.886941283147057,0.882255559400545,0.877921436504226,0.871402745962901,0.868498442396128,0.864860235172051,0.860848079952921,0.857194974942623,0.854267683659901,0.851701652332077,0.849131906150615,0.847661986861347,0.846558485217003,0.8295531274603
"[ 50 , 54 ]","M","H","1",0.991558325728976,0.984251668979694,0.969114043883142,0.959063215710595,0.948493960098761,0.93629635287412,0.923585679492581,0.9109163337152,0.898846369408914,0.890645053545338,0.883002043689882,0.872106278567125,0.861786264387976,0.850410344801223,0.840681571390388,0.830968966554287,0.821280134729825,0.814300370911991,0.807873851491914,0.79826133878313,0.793999159644067,0.788677755617263,0.782832311043228,0.777530832185574,0.773296986085999,0.769596097444459,0.765899622528564,0.763789594090828,0.762207645453815,0.738055767499466
"[ 55 , 59 ]","F","A","0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 55 , 59 ]","F","A","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 55 , 59 ]","M","A","0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999987561681856
"[ 55 , 59 ]","M","A","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99997922161141
"[ 55 , 59 ]","F","H","0",0.996381926540711,0.992763018834974,0.984998241437729,0.975655855711579,0.966813567072849,0.94961168362514,0.941771492788651,0.93286426979564,0.925513987413556,0.916573123916857,0.910255825852621,0.902356822345472,0.897090727265133,0.890240533052747,0.887602352720327,0.883905295494154,0.879674167669031,0.876495672094773,0.872782588244978,0.869598506458077,0.86800619658435,0.866944122884079,0.865350621283555,0.862694989928056,0.859506716158461,0.855785101491627,0.854189744182495,0.852594306187354,0.850998649467076,0.841945475038441
"[ 55 , 59 ]","F","H","1",0.993966552684238,0.9879529547346,0.975121558741605,0.959811791271709,0.945450278698012,0.917867232511443,0.905450468075416,0.891460665714202,0.880009350838902,0.866192927948852,0.856505107886313,0.84447790928834,0.836512653997972,0.826214569308467,0.822267524473858,0.816754000922833,0.81046934375909,0.805765951710049,0.800290741115781,0.795612060384988,0.793278021280172,0.791723321740416,0.789393862828803,0.785520155101318,0.780883383130718,0.775490093773839,0.773184433234646,0.770882431122072,0.768583885557129,0.755614012587134
"[ 55 , 59 ]","M","H","0",0.993334342556206,0.987546947942613,0.97550328336072,0.9674663678498,0.958979735346522,0.949140296448721,0.938834690935274,0.928508792632522,0.918620793457579,0.911873575542262,0.905564706398409,0.896535563344273,0.887944867103321,0.878431101048627,0.870257748961391,0.862063471132112,0.853854528147268,0.847919166042376,0.84243805797804,0.83421039987132,0.830550958883225,0.825972264173139,0.820930027485605,0.816345495196594,0.812676300731653,0.809463200103005,0.806248520607722,0.804411078282588,0.80303233204286,0.781857661819525
