"exec","age_group","sex","comorbidity","covid","binary_patient_type","death","count","obesity","diabetes","hyperten","ckd","cardio","copd","asthma","immuno","hiv"
18,"[ 18 , 24 ]","F",1,0,"H",0,382,101,89,66,71,48,7,58,111,11
18,"[ 18 , 24 ]","F",0,1,"H",0,928,0,0,0,0,0,0,0,0,0
18,"[ 18 , 24 ]","F",1,1,"H",0,154,56,49,32,35,22,6,46,35,11
19,"[ 18 , 24 ]","F",0,0,"A",15,241162,0,0,0,0,0,0,0,0,0
19,"[ 18 , 24 ]","F",1,0,"A",8,14035,6054,934,1049,389,618,189,5226,489,138
19,"[ 18 , 24 ]","F",0,1,"A",9,127701,0,0,0,0,0,0,0,0,0
19,"[ 18 , 24 ]","F",1,1,"A",4,9679,4935,596,691,208,317,144,3318,254,87
19,"[ 18 , 24 ]","F",0,0,"H",0,2501,0,0,0,0,0,0,0,0,0
19,"[ 18 , 24 ]","F",1,0,"H",0,388,114,98,82,68,49,6,80,91,10
19,"[ 18 , 24 ]","F",0,1,"H",0,862,0,0,0,0,0,0,0,0,0
19,"[ 18 , 24 ]","F",1,1,"H",0,164,67,51,30,26,29,4,18,37,7
20,"[ 18 , 24 ]","F",0,0,"A",16,241097,0,0,0,0,0,0,0,0,0
20,"[ 18 , 24 ]","F",1,0,"A",6,14125,6121,992,1107,377,603,186,5175,480,126
20,"[ 18 , 24 ]","F",0,1,"A",11,127738,0,0,0,0,0,0,0,0,0
20,"[ 18 , 24 ]","F",1,1,"A",1,9600,4802,612,654,201,337,142,3349,284,81
20,"[ 18 , 24 ]","F",0,0,"H",0,2520,0,0,0,0,0,0,0,0,0
20,"[ 18 , 24 ]","F",1,0,"H",0,394,117,107,82,61,38,7,72,86,9
20,"[ 18 , 24 ]","F",0,1,"H",0,847,0,0,0,0,0,0,0,0,0
20,"[ 18 , 24 ]","F",1,1,"H",0,171,65,58,49,34,17,11,35,50,11
1,"[ 18 , 24 ]","M",0,0,"A",37,197222,0,0,0,0,0,0,0,0,0
1,"[ 18 , 24 ]","M",1,0,"A",10,9994,4034,627,868,374,357,132,3613,445,364
1,"[ 18 , 24 ]","M",0,1,"A",33,103498,0,0,0,0,0,0,0,0,0
1,"[ 18 , 24 ]","M",1,1,"A",6,7073,3259,390,754,174,327,108,2455,203,306
1,"[ 18 , 24 ]","M",0,0,"H",0,1664,0,0,0,0,0,0,0,0,0
1,"[ 18 , 24 ]","M",1,0,"H",0,334,77,51,46,86,61,3,22,143,19
1,"[ 18 , 24 ]","M",0,1,"H",0,451,0,0,0,0,0,0,0,0,0
1,"[ 18 , 24 ]","M",1,1,"H",0,107,34,12,20,15,35,4,17,38,10
2,"[ 18 , 24 ]","M",0,0,"A",26,197922,0,0,0,0,0,0,0,0,0
2,"[ 18 , 24 ]","M",1,0,"A",16,10041,4272,634,836,356,351,139,3475,445,350
2,"[ 18 , 24 ]","M",0,1,"A",21,102780,0,0,0,0,0,0,0,0,0
2,"[ 18 , 24 ]","M",1,1,"A",14,7195,3385,386,672,175,331,95,2486,206,324
2,"[ 18 , 24 ]","M",0,0,"H",0,1578,0,0,0,0,0,0,0,0,0
2,"[ 18 , 24 ]","M",1,0,"H",0,302,76,34,47,67,59,3,24,112,13
2,"[ 18 , 24 ]","M",0,1,"H",0,417,0,0,0,0,0,0,0,0,0
2,"[ 18 , 24 ]","M",1,1,"H",0,108,29,25,24,20,42,2,13,33,12
3,"[ 18 , 24 ]","M",0,0,"A",19,197508,0,0,0,0,0,0,0,0,0
3,"[ 18 , 24 ]","M",1,0,"A",6,10099,4211,625,909,344,371,140,3554,435,403
3,"[ 18 , 24 ]","M",0,1,"A",16,103347,0,0,0,0,0,0,0,0,0
3,"[ 18 , 24 ]","M",1,1,"A",6,6984,3165,359,615,179,336,97,2547,250,295
3,"[ 18 , 24 ]","M",0,0,"H",0,1569,0,0,0,0,0,0,0,0,0
3,"[ 18 , 24 ]","M",1,0,"H",0,322,81,54,53,91,46,3,26,129,19
3,"[ 18 , 24 ]","M",0,1,"H",0,421,0,0,0,0,0,0,0,0,0
3,"[ 18 , 24 ]","M",1,1,"H",0,93,38,12,23,22,27,1,8,26,9
4,"[ 18 , 24 ]","M",0,0,"A",22,197854,0,0,0,0,0,0,0,0,0
4,"[ 18 , 24 ]","M",1,0,"A",8,10072,4131,664,944,326,348,134,3566,452,398
4,"[ 18 , 24 ]","M",0,1,"A",22,103089,0,0,0,0,0,0,0,0,0
4,"[ 18 , 24 ]","M",1,1,"A",10,7006,3288,379,669,156,318,90,2435,224,286
