"age_group","sex","patient_type","comorbidity","day_1","day_2","day_3","day_4","day_5","day_6","day_7","day_8","day_9","day_10","day_11","day_12","day_13","day_14","day_15","day_16","day_17","day_18","day_19","day_20","day_21","day_22","day_23","day_24","day_25","day_26","day_27","day_28","day_29","day_30"
"[ 50 , 54 ]","F","A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 50 , 54 ]","M","A",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999998110935997
"[ 50 , 54 ]","M","A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999996844286933
"[ 50 , 54 ]","F","H",0,0.999450267978693,0.998899928483323,0.997717480004006,0.996291809933889,0.994939427082667,0.992299919591276,0.991093087864626,0.989719071252311,0.988582847725846,0.987197816578685,0.986217242496421,0.984988847826411,0.984168466300134,0.983099568383697,0.982687381840926,0.98210926102467,0.981446911309184,0.980948838585119,0.980366444665597,0.979866549286142,0.979616394215027,0.979449478921446,0.979198952191626,0.978781192978012,0.978279234391683,0.977692740017555,0.977441137624628,0.97718940939807,0.976937533263507,0.97550632009661
"[ 50 , 54 ]","F","H",1,0.999082886791704,0.998167216491735,0.996208118733697,0.99386104812992,0.991649722913446,0.987375866989731,0.985440221776247,0.983250438226572,0.981450852729851,0.979270884923435,0.977736570101372,0.975825044104633,0.974554952369632,0.972907920280397,0.972275148657083,0.971389844489768,0.970378712413932,0.969620578811859,0.968736505179119,0.967979731373101,0.967601746386166,0.967349802277077,0.966972052326572,0.966343207872157,0.965589374578159,0.964711009421137,0.964334995417906,0.963959272972547,0.963583809540503,0.961459440098178
"[ 50 , 54 ]","M","H",0,0.998986843655332,0.998105852731862,0.996268499846615,0.995039371077702,0.993738794421342,0.992227427417072,0.990640407590433,0.989046052754248,0.987515307459347,0.986468505940977,0.985488025034058,0.984081912359122,0.98274091256598,0.981252173452618,0.979970085333715,0.978681802801517,0.977388256629411,0.976451111880109,0.975584287300845,0.97428054919258,0.973699688479226,0.97297204703441,0.972169615990584,0.971438994988525,0.97085353673198,0.970340330466415,0.969826381230123,0.969532397372269,0.969311697043401,0.96591062549206
"[ 50 , 54 ]","M","H",1,0.998311665145795,0.996850333795939,0.993822808776628,0.991812643142119,0.989698792019752,0.987259270574824,0.984717135898516,0.98218326674304,0.979769273881783,0.978129010709068,0.976600408737976,0.974421255713425,0.972357252877595,0.970082068960245,0.968136314278078,0.966193793310857,0.964256026945965,0.962860074182398,0.961574770298383,0.959652267756626,0.958799831928813,0.957735551123453,0.956566462208646,0.955506166437115,0.9546593972172,0.953919219488892,0.953179924505713,0.952757918818166,0.952441529090763,0.947611153499893
"[ 55 , 59 ]","F","A",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 55 , 59 ]","F","A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 55 , 59 ]","M","A",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999997512336371
"[ 55 , 59 ]","M","A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999995844322282
"[ 55 , 59 ]","F","H",0,0.999276385308142,0.998552603766995,0.996999648287546,0.995131171142316,0.99336271341457,0.989922336725028,0.98835429855773,0.986572853959128,0.985102797482711,0.983314624783371,0.982051165170524,0.980471364469094,0.979418145453027,0.978048106610549,0.977520470544065,0.976781059098831,0.975934833533806,0.975299134418955,0.974556517648996,0.973919701291615,0.97360123931687,0.973388824576816,0.973070124256711,0.972538997985611,0.971901343231692,0.971157020298325,0.970837948836499,0.970518861237471,0.970199729893415,0.968389095007688
"[ 55 , 59 ]","F","H",1,0.998793310536848,0.99759059094692,0.995024311748321,0.991962358254342,0.989090055739602,0.983573446502289,0.981090093615083,0.97829213314284,0.97600187016778,0.97323858558977,0.971301021577263,0.968895581857668,0.967302530799594,0.965242913861693,0.964453504894772,0.963350800184567,0.962093868751818,0.96115319034201,0.960058148223156,0.959122412076998,0.958655604256034,0.958344664348083,0.957878772565761,0.957104031020264,0.956176676626144,0.955098018754768,0.954636886646929,0.954176486224414,0.953716777111426,0.951122802517427
"[ 55 , 59 ]","M","H",0,0.998666868511241,0.997509389588523,0.995100656672144,0.99349327356996,0.991795947069304,0.989828059289744,0.987766938187055,0.985701758526504,0.983724158691516,0.982374715108452,0.981112941279682,0.979307112668855,0.977588973420664,0.975686220209725,0.974051549792278,0.972412694226422,0.970770905629454,0.969583833208475,0.968487611595608,0.966842079974264,0.966110191776645,0.965194452834628,0.964186005497121,0.963269099039319,0.962535260146331,0.961892640020601,0.961249704121544,0.960882215656518,0.960606466408572,0.956371532363905
"[ 55 , 59 ]","M","H",1,0.997780184510107,0.995864520327223,0.991912585257357,0.989301256771663,0.986566139629255,0.983423590200076,0.980164836797974,0.976932989233227,0.97386926113517,0.971796027968486,0.969870155256635,0.967135080542181,0.96455587452986,0.961725619923576,0.9593159004333,0.956920104315984,0.954540089702178,0.952831707451968,0.951263318734225,0.948925616019964,0.947892246237888,0.946604804499823,0.945194091829703,0.943917846871812,0.9429008016533,0.94201337479107,0.941128492049179,0.940624048480742,0.940246170974848,0.934511081354496
"[ 60 , 64 ]","F","A",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 60 , 64 ]","F","A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 60 , 64 ]","M","A",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999997532027374
"[ 60 , 64 ]","M","A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999995877216186
"[ 60 , 64 ]","F","H",0,0.999282102794557,0.998564019416225,0.997023219970659,0.995169241158375,0.993414376244325,0.990000078100453,0.988443763991027,0.98667551457364,0.985216246229877,0.983441072449133,0.982186714850451,0.980618198089905,0.979572441509093,0.978212037123303,0.977688089459697,0.976953826068499,0.976113462398924,0.97548214580283,0.974744625688611,0.974112160090957,0.973795866992134,0.973584896343603,0.973268358854286,0.972740826767353,0.972107470102894,0.971368140723677,0.971051202079018,0.970734242719114,0.970417235210117,0.968618560851354
"[ 60 , 64 ]","F","H",1,0.998802828277857,0.997609527590763,0.995063118882209,0.992024465761607,0.989173612047097,0.983697070980094,0.98123126378752,0.978452700526489,0.976178018961753,0.973433174831842,0.971508304189035,0.969118348450562,0.96753538300789,0.965488604027597,0.964704054919517,0.963608082176137,0.962358743324192,0.961423690428821,0.96033513546549,0.959404890045434,0.958940803138837,0.958631668875331,0.958168472424984,0.957398186041965,0.956476119969202,0.955403552025159,0.954945003221208,0.954487169907816,0.954030011961412,0.951450204925898
"[ 60 , 64 ]","M","H",0,0.998677385956263,0.997528981744285,0.995138962300791,0.993543937210534,0.991859546359799,0.989906508449859,0.987860768895113,0.985810822780715,0.983847641350021,0.982507940466174,0.981255205403953,0.979462192605673,0.977756114167278,0.97586656517218,0.974243109298907,0.972615375827884,0.970984606423521,0.96980542403834,0.968716430590836,0.967081643726224,0.966354493574565,0.965444647148394,0.964442642678288,0.963531551966274,0.962802338491582,0.962163747428989,0.961524822493188,0.961159617557458,0.96088557744679,0.956676420444872
"[ 60 , 64 ]","M","H",1,0.997797640872128,0.995896855952912,0.991975067823052,0.989383249518429,0.98666821295434,0.983548282181444,0.980312465186011,0.977102835678293,0.974059676458838,0.972000086374771,0.970086685293262,0.967368985007491,0.964805796239398,0.961992702523848,0.95959724704179,0.957215312052473,0.954848747003016,0.953149819895857,0.95158996364647,0.949264713329888,0.948236745940917,0.946955946533862,0.945552398891738,0.944282533177093,0.943270501189696,0.942387397313563,0.941506777283832,0.941004742262953,0.940628658736866,0.934919704056003
"[ 65 , 69 ]","F","A",0,1,1,1,1,1,1,1,1,1,1,1,1,0.999994633382573,0.999994633382573,0.999994633382573,0.999994633382573,0.999994633382573,0.999994633382573,0.999994633382573,0.999994633382573,0.999994633382573,0.999994633382573,0.999994633382573,0.999994633382573,0.999994633382573,0.999994633382573,0.999994633382573,0.999994633382573,0.999994633382573,0.999994633382573
"[ 65 , 69 ]","F","A",1,1,1,1,1,1,1,1,1,1,1,1,1,0.999994788512174,0.999994788512174,0.999994788512174,0.999994788512174,0.999994788512174,0.999994788512174,0.999994788512174,0.999994788512174,0.999994788512174,0.999994788512174,0.999994788512174,0.999994788512174,0.999994788512174,0.999994788512174,0.999994788512174,0.999994788512174,0.999994788512174,0.999994788512174
"[ 65 , 69 ]","M","A",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999992964986674,0.999992964986674,0.999992964986674,0.999992964986674,0.999992964986674,0.999992964986674,0.999992964986674,0.999992964986674,0.999992964986674,0.999992964986674,0.999992964986674,0.999992964986674,0.99998592977872,0.999971859328465
"[ 65 , 69 ]","M","A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999993168345671,0.999993168345671,0.999993168345671,0.999993168345671,0.999993168345671,0.999993168345671,0.999993168345671,0.999993168345671,0.999993168345671,0.999993168345671,0.999993168345671,0.999993168345671,0.99998633651982,0.999972672887207
